field,value,unit

INPUT,,
file,machine_block_placement_csv_parse.c,
path,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,
type,c,

RUN,,
schema_version,1,
tool_version,0.1.2,
backend,cpu,
status,executed,
compiler,/home/aitr/osc/llvm-project/build-stage1/bin/clang,
compiler_version,clang version 24.0.0git (https://github.com/compilersutra/llvm-project.git 196786fa5fe4225539678fc7904a383eca05374e),
executable,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse,
timestamp_utc,2026-08-23T05:17:45.981453+00:00,
generated_at_utc,2026-08-23T05:17:45.981453+00:00,

PROFILING,,
measurement_status,same_execution,
same_execution,true,
wall_time_source,native_runner,
perf_source,perf_stat_wrapped_native_runner,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse --program-arg 1048576",
perf_events,"cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2",

EXECUTION,,
compiler_flags,"[""-std=c11"",""-O0""]",
program_args,"[""1048576""]",
terminated_by,exit,

TIMING,,
trial_1_ms,75.93,ms
trial_2_ms,65.874,ms
trial_3_ms,65.896,ms
trial_4_ms,70.893,ms
trial_5_ms,70.993,ms
trial_6_ms,70.992,ms
trial_7_ms,75.982,ms
trial_8_ms,70.864,ms
trial_9_ms,70.924,ms
trial_10_ms,70.943,ms
trial_11_ms,70.908,ms
trial_12_ms,70.897,ms
trial_13_ms,65.848,ms
trial_14_ms,70.913,ms
trial_15_ms,65.836,ms
trial_16_ms,65.824,ms
trial_17_ms,70.916,ms
trial_18_ms,70.944,ms
trial_19_ms,75.995,ms
trial_20_ms,65.897,ms
trial_21_ms,70.912,ms
trial_22_ms,70.932,ms
trial_23_ms,70.928,ms
trial_24_ms,70.992,ms
trial_25_ms,65.825,ms
trial_26_ms,70.937,ms
trial_27_ms,65.86,ms
trial_28_ms,70.904,ms
trial_29_ms,70.931,ms
trial_30_ms,70.947,ms
trial_31_ms,70.884,ms
trial_32_ms,70.852,ms
trial_33_ms,70.934,ms
trial_34_ms,65.879,ms
trial_35_ms,70.868,ms
trial_36_ms,71.723,ms
trial_37_ms,70.976,ms
trial_38_ms,65.86,ms
trial_39_ms,70.935,ms
trial_40_ms,70.944,ms
trial_41_ms,71.102,ms
trial_42_ms,76.745,ms
trial_43_ms,91.572,ms
trial_44_ms,75.991,ms
trial_45_ms,75.953,ms
trial_46_ms,70.931,ms
trial_47_ms,70.888,ms
