field,value,unit

INPUT,,
file,machine_block_placement_csv_parse.c,
path,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,
type,c,

RUN,,
schema_version,1,
tool_version,0.1.2,
backend,cpu,
status,executed,
compiler,/home/aitr/osc/llvm-project/build-stage1/bin/clang,
compiler_version,clang version 24.0.0git (https://github.com/compilersutra/llvm-project.git 196786fa5fe4225539678fc7904a383eca05374e),
executable,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse,
timestamp_utc,2026-08-23T05:17:54.730979+00:00,
generated_at_utc,2026-08-23T05:17:54.730979+00:00,

PROFILING,,
measurement_status,same_execution,
same_execution,true,
wall_time_source,native_runner,
perf_source,perf_stat_wrapped_native_runner,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse --program-arg 1048576",
perf_events,"cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2",

EXECUTION,,
compiler_flags,"[""-std=c11"",""-O1""]",
program_args,"[""1048576""]",
terminated_by,exit,

TIMING,,
trial_1_ms,65.812,ms
trial_2_ms,65.892,ms
trial_3_ms,65.807,ms
trial_4_ms,65.857,ms
trial_5_ms,65.883,ms
trial_6_ms,65.848,ms
trial_7_ms,65.89,ms
trial_8_ms,65.891,ms
trial_9_ms,65.856,ms
trial_10_ms,65.874,ms
trial_11_ms,71.05,ms
trial_12_ms,65.827,ms
trial_13_ms,65.882,ms
trial_14_ms,65.869,ms
trial_15_ms,65.853,ms
trial_16_ms,65.857,ms
trial_17_ms,70.965,ms
trial_18_ms,65.904,ms
trial_19_ms,65.847,ms
trial_20_ms,70.96,ms
trial_21_ms,65.9,ms
trial_22_ms,65.828,ms
trial_23_ms,65.84,ms
trial_24_ms,65.839,ms
trial_25_ms,65.894,ms
trial_26_ms,65.833,ms
trial_27_ms,65.794,ms
trial_28_ms,65.838,ms
trial_29_ms,65.836,ms
trial_30_ms,65.795,ms
trial_31_ms,65.886,ms
trial_32_ms,65.891,ms
trial_33_ms,65.832,ms
trial_34_ms,70.903,ms
trial_35_ms,65.824,ms
trial_36_ms,65.845,ms
trial_37_ms,65.815,ms
trial_38_ms,65.819,ms
trial_39_ms,65.839,ms
trial_40_ms,65.885,ms
trial_41_ms,65.846,ms
trial_42_ms,65.829,ms
trial_43_ms,65.856,ms
trial_44_ms,65.957,ms
trial_45_ms,65.885,ms
trial_46_ms,70.93,ms
trial_47_ms,65.853,ms
