source_file,diff_type,kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
bit_mix.cpp,standard,metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,39455.0,35326.0,-4129.0,-10.465087,misses,lower_is_better,clang++
bit_mix.cpp,standard,metric,branch_instructions,g++,clang++,135438586.0,68431153.0,-67007433.0,-49.474404,branches,lower_is_better,clang++
bit_mix.cpp,standard,metric,branch_mispredictions,g++,clang++,8284.0,9010.0,726.0,8.763882,misses,lower_is_better,g++
bit_mix.cpp,standard,metric,branch_miss_rate_pct,g++,clang++,0.0061,0.0132,0.0071,116.393443,%,lower_is_better,g++
bit_mix.cpp,standard,metric,cache_miss_rate_pct,g++,clang++,13.4253,12.1355,-1.2898,-9.607234,%,lower_is_better,clang++
bit_mix.cpp,standard,metric,cache_misses,g++,clang++,35087.0,32582.0,-2505.0,-7.139396,misses,lower_is_better,clang++
bit_mix.cpp,standard,metric,cache_references,g++,clang++,261349.0,268486.0,7137.0,2.730831,references,lower_is_better,g++
bit_mix.cpp,standard,metric,cpu_cycles,g++,clang++,1885554286.0,1950899243.0,65344957.0,3.465557,cycles,lower_is_better,g++
bit_mix.cpp,standard,metric,dtlb_load_misses,g++,clang++,951.0,803.0,-148.0,-15.562566,misses,lower_is_better,clang++
bit_mix.cpp,standard,metric,execution_time_ms,g++,clang++,340.4158,353.0678,12.652,3.716631,ms,lower_is_better,g++
bit_mix.cpp,standard,metric,frontend_stall_cycles,g++,clang++,2353437.0,2323262.0,-30175.0,-1.282167,cycles,lower_is_better,clang++
bit_mix.cpp,standard,metric,frontend_stall_ratio_pct,g++,clang++,0.1248,0.1191,-0.0057,-4.567308,%,lower_is_better,clang++
bit_mix.cpp,standard,metric,instruction_count,g++,clang++,2153088600.0,2020367925.0,-132720675.0,-6.164199,instructions,lower_is_better,clang++
bit_mix.cpp,standard,metric,ipc,g++,clang++,1.1419,1.0356,-0.1063,-9.309046,insn/cycle,higher_is_better,g++
bit_mix.cpp,standard,metric,itlb_load_misses,g++,clang++,241.0,220.0,-21.0,-8.713693,misses,lower_is_better,clang++
bit_mix.cpp,standard,metric,l1_cache_misses,g++,clang++,57776.0,63571.0,5795.0,10.030116,misses,lower_is_better,g++
